mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e32_m100ns,13952661000,13952.661,73.259,0.528,14529.705,4.685
iommu_e16_m250ns,13978140000,13978.140,98.738,0.711,14604.916,5.227
iommu_e16_m1000ns,14076660000,14076.660,197.258,1.421,14888.666,7.272
iommu_e32_m1000ns,14013138000,14013.138,133.736,0.964,14697.306,5.893
iommu_e16_m100ns,13957524000,13957.524,78.122,0.563,14547.164,4.811
aia-kd,14340143000,14340.143,460.741,3.320,15151.742,9.167
iommu_e64_m100ns,13952086000,13952.086,72.684,0.524,14528.840,4.679
plain,13879402000,13879.402,0.000,0.000,13879.402,0.000
iommu_e256_m250ns,13961736000,13961.736,82.334,0.593,14555.908,4.874
iommu_e8_m1000ns,14076660000,14076.660,197.258,1.421,14888.666,7.272
iommu_e256_m1000ns,14010244000,14010.244,130.842,0.943,14691.412,5.850
iommu_e256_m100ns,13952086000,13952.086,72.684,0.524,14528.840,4.679
iommu_e32_m500ns,13978535000,13978.535,99.133,0.714,14603.205,5.215
iommu_e8_m100ns,13957524000,13957.524,78.122,0.563,14547.164,4.811
iommu_e64_m500ns,13978140000,13978.140,98.738,0.711,14601.318,5.201
iommu_e2048_m250ns,13961736000,13961.736,82.334,0.593,14555.908,4.874
iommu_e64_m250ns,13961736000,13961.736,82.334,0.593,14555.908,4.874
iommu_e32_m250ns,13962145000,13962.145,82.743,0.596,14557.067,4.883
iommu_e8_m250ns,13978140000,13978.140,98.738,0.711,14604.916,5.227
iommu_e64_m1000ns,14010244000,14010.244,130.842,0.943,14691.412,5.850
iommu_e2048_m500ns,13978140000,13978.140,98.738,0.711,14601.318,5.201
iommu_e8_m500ns,14010184000,14010.184,130.782,0.942,14698.696,5.903
iommu_e16_m500ns,14010184000,14010.184,130.782,0.942,14698.696,5.903
iommu_e2048_m1000ns,14010244000,14010.244,130.842,0.943,14691.412,5.850
iommu_e256_m500ns,13978140000,13978.140,98.738,0.711,14601.318,5.201
iommu_e2048_m100ns,13952086000,13952.086,72.684,0.524,14528.840,4.679
