
---------- Begin Simulation Statistics ----------
simSeconds                                   0.443991                       # Number of seconds simulated (Second)
simTicks                                 443990729000                       # Number of ticks simulated (Tick)
finalTick                                443991861000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    528.19                       # Real time elapsed on the host (Second)
hostTickRate                                840585872                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4682736                       # Number of bytes of host memory used (Byte)
simInsts                                     35674633                       # Number of instructions simulated (Count)
simOps                                       39955409                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    67541                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      75646                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 443991861000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON 443991861000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED 443991861000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION 443991861000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF 443991861000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        887981458                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42734867                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       12                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       73923080                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     30                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2779517                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10349310                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           518505608                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.142569                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.682447                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                 488157107     94.15%     94.15% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                  11978231      2.31%     96.46% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                   6526377      1.26%     97.72% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                   2240750      0.43%     98.15% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                   7835026      1.51%     99.66% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                    704136      0.14%     99.79% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                    378921      0.07%     99.87% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                    444945      0.09%     99.95% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                    240115      0.05%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total             518505608                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass             6364664      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6364664      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                6364664      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 6364664      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               6364664      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               6364664      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt               6364664      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              6364664      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           6364664      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               6364664      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              6364664      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt              6364664      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                6364664      1.89%     24.53% # attempts to use FU when none available (Count)
