
---------- Begin Simulation Statistics ----------
simSeconds                                   0.443555                       # Number of seconds simulated (Second)
simTicks                                 443554722000                       # Number of ticks simulated (Tick)
finalTick                                443555854000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    579.45                       # Real time elapsed on the host (Second)
hostTickRate                                765470034                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4682740                       # Number of bytes of host memory used (Byte)
simInsts                                     35710645                       # Number of instructions simulated (Count)
simOps                                       39991421                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    61628                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      69016                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 443555854000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON 443555854000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED 443555854000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION 443555854000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF 443555854000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        887109444                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42770290                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       12                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       74060731                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     29                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2778928                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10346362                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           517747754                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.143044                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.683508                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                 487345297     94.13%     94.13% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                  11998920      2.32%     96.45% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                   6532879      1.26%     97.71% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                   2243247      0.43%     98.14% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                   7859626      1.52%     99.66% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                    704168      0.14%     99.79% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                    378653      0.07%     99.87% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                    444662      0.09%     99.95% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                    240302      0.05%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total             517747754                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass             6382254      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6382254      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                6382254      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 6382254      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               6382254      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               6382254      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt               6382254      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              6382254      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           6382254      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               6382254      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              6382254      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt              6382254      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                6382254      1.89%     24.53% # attempts to use FU when none available (Count)
