mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
md_grid/iommu_e256_m100ns	5286.199	5286199000	0.005286	4767.16	0.000	481.352	119776	119760	16	99.9866	16	0	0	0
md_grid/iommu_e256_m250ns	5288.220	5288220000	0.005288	4769.54	0.000	485.852	119776	119760	16	99.9866	16	0	0	0
md_grid/iommu_e256_m500ns	5291.594	5291594000	0.005292	4773.91	0.000	493.360	119778	119762	16	99.9866	16	0	0	0
md_grid/iommu_e256_m1000ns	5300.574	5300574000	0.005301	4781.61	0.000	508.356	119777	119761	16	99.9866	16	0	0	0
md_grid/iommu_e2048_m100ns	5286.199	5286199000	0.005286	4767.16	0.000	481.352	119776	119760	16	99.9866	16	0	0	0
md_grid/iommu_e2048_m250ns	5288.220	5288220000	0.005288	4769.54	0.000	485.852	119776	119760	16	99.9866	16	0	0	0
md_grid/iommu_e2048_m500ns	5291.594	5291594000	0.005292	4773.91	0.000	493.360	119778	119762	16	99.9866	16	0	0	0
md_grid/iommu_e2048_m1000ns	5300.574	5300574000	0.005301	4781.61	0.000	508.356	119777	119761	16	99.9866	16	0	0	0
md_knn/plain	4457.006	4457006000	0.004457	689.41	0.000	-	0	0	0	-	0	0	0	0
md_knn/aia-kd	4698.218	4698218000	0.004698	931.44	292.482	-	0	0	0	-	0	23035	22	14
md_knn/iommu_e8_m100ns	4460.790	4460790000	0.004461	690.83	0.000	95.846	23304	23288	16	99.9313	15	0	0	0
md_knn/iommu_e8_m250ns	4461.301	4461301000	0.004461	693.05	0.000	100.346	23304	23288	16	99.9313	15	0	0	0
md_knn/iommu_e8_m500ns	4464.643	4464643000	0.004465	697.11	0.000	107.846	23304	23288	16	99.9313	15	0	0	0
md_knn/iommu_e8_m1000ns	4472.578	4472578000	0.004473	705.24	0.000	122.850	23305	23289	16	99.9313	15	0	0	0
md_knn/iommu_e16_m100ns	4460.790	4460790000	0.004461	690.75	0.000	95.748	23304	23289	15	99.9356	15	0	0	0
md_knn/iommu_e16_m250ns	4461.301	4461301000	0.004461	692.82	0.000	100.098	23304	23289	15	99.9356	15	0	0	0
md_knn/iommu_e16_m500ns	4464.643	4464643000	0.004465	696.63	0.000	107.348	23304	23289	15	99.9356	15	0	0	0
md_knn/iommu_e16_m1000ns	4472.578	4472578000	0.004473	704.26	0.000	121.852	23305	23290	15	99.9356	15	0	0	0
md_knn/iommu_e32_m100ns	4460.790	4460790000	0.004461	690.75	0.000	95.748	23304	23289	15	99.9356	15	0	0	0
md_knn/iommu_e32_m250ns	4461.301	4461301000	0.004461	692.82	0.000	100.098	23304	23289	15	99.9356	15	0	0	0
md_knn/iommu_e32_m500ns	4464.643	4464643000	0.004465	696.63	0.000	107.348	23304	23289	15	99.9356	15	0	0	0
md_knn/iommu_e32_m1000ns	4472.578	4472578000	0.004473	704.26	0.000	121.852	23305	23290	15	99.9356	15	0	0	0
md_knn/iommu_e64_m100ns	4460.790	4460790000	0.004461	690.75	0.000	95.748	23304	23289	15	99.9356	15	0	0	0
