mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
aia-kd,37592230000,37592.230,12089.212,47.403,651791.324,2455.742
iommu_e32_m1000ns,102258315000,102258.315,76755.297,300.966,3387220.657,13181.646
plain,25503018000,25503.018,0.000,0.000,25503.018,0.000
iommu_e64_m100ns,101545307000,101545.307,76042.289,298.170,3382424.569,13162.840
iommu_e2048_m500ns,101906634000,101906.634,76403.616,299.587,3384709.042,13171.798
iommu_e2048_m100ns,101545307000,101545.307,76042.289,298.170,3382424.569,13162.840
iommu_e16_m500ns,102040421000,102040.421,76537.403,300.111,3391052.791,13196.673
iommu_e64_m1000ns,102257319000,102257.319,76754.301,300.962,3387217.661,13181.635
iommu_e16_m250ns,101886387000,101886.387,76383.369,299.507,3386812.397,13180.046
iommu_e16_m100ns,101569331000,101569.331,76066.313,298.264,3383756.623,13168.064
iommu_e32_m250ns,101603447000,101603.447,76100.429,298.398,3383194.559,13165.860
iommu_e64_m250ns,101603198000,101603.198,76100.180,298.397,3383193.710,13165.856
iommu_e256_m500ns,101906634000,101906.634,76403.616,299.587,3384709.042,13171.798
iommu_e2048_m1000ns,102257319000,102257.319,76754.301,300.962,3387217.661,13181.635
iommu_e32_m100ns,101546303000,101546.303,76043.285,298.174,3382425.965,13162.846
iommu_e256_m250ns,101603198000,101603.198,76100.180,298.397,3383193.710,13165.856
iommu_e16_m1000ns,102554177000,102554.177,77051.159,302.126,3400090.159,13232.109
iommu_e2048_m250ns,101603198000,101603.198,76100.180,298.397,3383193.710,13165.856
iommu_e256_m100ns,101545307000,101545.307,76042.289,298.170,3382424.569,13162.840
iommu_e64_m500ns,101906634000,101906.634,76403.616,299.587,3384709.042,13171.798
iommu_e256_m1000ns,102257319000,102257.319,76754.301,300.962,3387217.661,13181.635
iommu_e32_m500ns,101907132000,101907.132,76404.114,299.589,3384710.540,13171.804
iommu_e8_m100ns,159764853000,159764.853,134261.835,526.455,7260076.879,28367.521
iommu_e8_m250ns,251853326000,251853.326,226350.308,887.543,13272978.686,51944.737
iommu_e8_m500ns,403817418000,403817.418,378314.400,1483.410,23210985.870,90912.702
iommu_e8_m1000ns,708094390000,708094.390,682591.372,2676.512,43116340.816,168963.680
