mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e256_m250ns	13944070000	13944.070	64.671	0.466	14513.242	4.567
iommu_e16_m1000ns	14031805000	14031.805	152.406	1.098	14780.309	6.491
iommu_e32_m1000ns	13968381000	13968.381	88.982	0.641	14589.041	5.113
iommu_e2048_m100ns	13938375000	13938.375	58.976	0.425	14497.635	4.454
iommu_e2048_m1000ns	13967503000	13967.503	88.104	0.635	14586.167	5.092
iommu_e8_m250ns	13959717000	13959.717	80.318	0.579	14561.233	4.913
iommu_e32_m500ns	13951932000	13951.932	72.533	0.523	14538.604	4.750
iommu_e32_m250ns	13944297000	13944.297	64.898	0.468	14513.965	4.572
iommu_e8_m500ns	13983303000	13983.303	103.904	0.749	14633.819	5.436
plain	13879399000	13879.399	0.000	0.000	13879.399	0.000
iommu_e16_m250ns	13959717000	13959.717	80.318	0.579	14561.233	4.913
iommu_e8_m1000ns	14031805000	14031.805	152.406	1.098	14780.309	6.491
iommu_e32_m100ns	13938375000	13938.375	58.976	0.425	14497.831	4.456
iommu_e16_m500ns	13983303000	13983.303	103.904	0.749	14633.819	5.436
iommu_e2048_m250ns	13944070000	13944.070	64.671	0.466	14513.242	4.567
iommu_e64_m500ns	13951124000	13951.124	71.725	0.517	14536.800	4.737
iommu_e64_m100ns	13938375000	13938.375	58.976	0.425	14497.635	4.454
iommu_e16_m100ns	13944770000	13944.770	65.371	0.471	14516.818	4.593
aia-kd	14035379000	14035.379	155.980	1.124	15080.934	8.657
iommu_e256_m500ns	13951124000	13951.124	71.725	0.517	14536.800	4.737
iommu_e64_m250ns	13944070000	13944.070	64.671	0.466	14513.242	4.567
iommu_e64_m1000ns	13967503000	13967.503	88.104	0.635	14586.167	5.092
iommu_e256_m1000ns	13967503000	13967.503	88.104	0.635	14586.167	5.092
iommu_e256_m100ns	13938375000	13938.375	58.976	0.425	14497.635	4.454
iommu_e8_m100ns	13944770000	13944.770	65.371	0.471	14516.818	4.593
iommu_e2048_m500ns	13951124000	13951.124	71.725	0.517	14536.800	4.737
